kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
5375194;K01825.01;Kepler-964 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;13.522.523.640;7,45E+02;-7,45E+02;1.421.793.200;4,58E+03;-4,58E+03;0.2160;0.2320;-0.2160;398.700;0.14100;-0.14100;6,91E+06;3,60E+04;-3,60E+04;2.11;2,00E+02;-1,00E+02;652.0;;;42.82;12.78;-6.99;22.40;1;q1_q17_dr25_tce;5338.00;106.00;-106.00;4.557;0.028;-0.077;0.8160;0.0780;-0.0390;295.300.080;40.556.591;13.895
6468138;K01826.01;Kepler-965 b;CONFIRMED;CANDIDATE;0.9870;0;0;0;0;134.252.047.400;5,47E+03;-5,47E+03;1.827.053.400;3,06E+03;-3,06E+03;0.0010;0.3920;-0.0010;906.360;0.09040;-0.09040;8,32E+06;1,66E+04;-1,66E+04;3.43;5,40E+02;-5,30E+02;393.0;;;5.63;2.44;-1.92;57.20;1;q1_q17_dr25_tce;5818.00;105.00;-117.00;4.276;0.143;-0.104;12.000;0.1860;-0.1860;298.515.320;41.891.201;13.350
10019708;K00199.01;Kepler-490 b;CONFIRMED;CANDIDATE;0.9990;0;0;0;0;3.268.695.042;2,62E+00;-2,62E+00;1.374.817.205;6,50E+01;-6,50E+01;0.0650;0.0810;-0.0440;345.188;0.00218;-0.00218;1,01E+08;7,90E+03;-7,90E+03;16.91;2,61E+03;-3,92E+03;1597.0;;;1539.00;624.72;-678.87;1429.90;1;q1_q17_dr25_tce;5927.00;80.00;-80.00;4.046;0.182;-0.098;16.910;0.2610;-0.3920;295.025.670;46.956.001;14.879
11875734;K01828.01;Kepler-966 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;99.746.880.400;3,94E+03;-3,94E+03;2.083.968.800;2,78E+03;-2,78E+03;0.8280;0.0660;-0.5730;680.400;0.16000;-0.16000;1,29E+07;3,13E+04;-3,13E+04;3.94;1,40E+03;-7,50E+02;391.0;;;5.55;5.92;-2.30;45.60;1;q1_q17_dr25_tce;5620.00;169.00;-152.00;4.363;0.194;-0.237;0.9740;0.3460;-0.1860;297.270.570;50.121.811;14.422
7697568;K01829.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;22.841.562.930;4,13E+02;-4,13E+02;1.386.320.000;1,49E+03;-1,49E+03;12.670;695.100;-0.0510;259.970;0.06920;-0.06920;2,94E+07;7,25E+04;-7,25E+04;30.00;5,56E+03;-2,98E+03;557.0;;;22.78;13.60;-6.39;47.60;1;q1_q17_dr25_tce;5381.00;175.00;-159.00;4.538;0.051;-0.119;0.8260;0.1530;-0.0820;296.522.430;43.363.369;15.911
7046804;K00205.01;Kepler-492 b;CONFIRMED;CANDIDATE;0.9980;0;0;0;0;11.720.123.999;1,57E+01;-1,57E+01;1.421.739.990;1,09E+02;-1,09E+02;0.6230;0.0160;-0.0260;300.390;0.01650;-0.01650;9,76E+07;1,70E+04;-1,70E+04;7.94;1,06E+03;-7,10E+02;660.0;;;44.89;20.14;-11.57;707.30;1;q1_q17_dr25_tce;5215.00;158.00;-142.00;4.564;0.052;-0.078;0.7700;0.1030;-0.0690;295.496.670;42.537.891;14.518
7449136;K01890.01;Kepler-1002 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;4.336.435.060;1,15E+02;-1,15E+02;1.338.544.200;2,18E+03;-2,18E+03;0.6410;0.2670;-0.4270;414.450;0.05680;-0.05680;1,09E+06;2,60E+03;-2,60E+03;1.75;7,00E+01;-9,00E+01;1453.0;;;1054.56;131.47;-153.35;48.00;1;q1_q17_dr25_tce;6180.00;74.00;-80.00;4.133;0.015;-0.015;16.030;0.0570;-0.0820;293.079.500;43.073.711;11.704
8680979;K01891.01;Kepler-330 c;CONFIRMED;CANDIDATE;10.000;0;0;0;0;15.955.419.130;5,10E+02;-5,10E+02;1.433.023.600;2,63E+03;-2,63E+03;0.3140;0.1260;-0.3140;398.510;0.07880;-0.07880;7,63E+06;2,09E+04;-2,09E+04;2.18;7,00E+01;-1,50E+02;573.0;;;25.54;3.59;-4.96;39.00;1;q1_q17_dr25_tce;4891.00;78.00;-87.00;4.516;0.067;-0.018;0.8050;0.0280;-0.0560;288.447.390;44.801.682;15.261
8680979;K01891.02;Kepler-330 b;CONFIRMED;CANDIDATE;0.9900;0;0;0;0;8.259.803.520;4,69E+02;-4,69E+02;1.374.702.100;4,85E+03;-4,85E+03;0.1610;0.3020;-0.1610;292.800;0.13000;-0.13000;2,98E+06;1,80E+04;-1,80E+04;1.35;4,00E+01;-1,00E+02;714.0;;;61.43;8.65;-11.93;18.30;2;q1_q17_dr25_tce;4891.00;78.00;-87.00;4.516;0.067;-0.018;0.8050;0.0280;-0.0560;288.447.390;44.801.682;15.261
9030537;K01892.01;;CANDIDATE;CANDIDATE;10.000;0;0;0;0;62.561.387.900;3,19E+03;-3,19E+03;1.784.084.700;4,03E+03;-4,03E+03;0.8420;0.0590;-0.5820;590.700;0.11000;-0.11000;1,37E+07;4,32E+04;-4,32E+04;3.54;9,30E+02;-3,10E+02;417.0;;;7.13;5.64;-1.80;35.00;1;q1_q17_dr25_tce;5662.00;169.00;-152.00;4.560;0.042;-0.168;0.8400;0.2200;-0.0730;294.816.100;45.306.122;15.500
